response_id,birth_year,gender,industry,occupation,org_size,is_manager,household_type,tenure,location,remote_time_last_year,preferred_remote_last_year,remote_time_last_3months,org_encouraged_remote,org_prepared,remote_was_common,easy_permission,easy_collaboration,preferred_remote_last_3months,post_covid_preference,expect_employer_encourage,expect_employer_changes,expect_more_choice,productivity_remote,office_commute_hrs,office_working_hrs,office_personal_hrs,office_caring_hrs,remote_commute_hrs,remote_working_hrs,remote_personal_hrs,remote_caring_hrs,year
1,1972,Female,Manufacturing,Clerical and administrative ,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Regional,Rarely or never ,I would not have preferred to work remotely ,90%,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,80%,90%,Somewhat disagree,Somewhat disagree,Strongly disagree,I’m 50% more productive when working remotely (or more),2.0,8.0,2.0,2.0,0.5,8.0,3.5,2.0,2020
2,1972,Male,Wholesale Trade,Managers,Between 1 and 4,Yes,Couple with dependent children,More than 5 years,Metro,20%,20%,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,20%,20%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% less productive when working remotely,2.0,7.0,3.0,3.0,0.0,7.0,3.0,3.0,2020
3,1982,Male,"Electricity, Gas, Water and Waste Services",Managers,More than 200,Yes,One  parent family with dependent children,More than 5 years,Metro,60%,50% - About half of my time,50% - I spent about half of my time remote working,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,60%,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 10% less productive when working remotely,6.0,1.0,6.0,5.0,5.0,2.0,7.0,7.0,2020
4,1987,Female,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,20%,50% - About half of my time,100% - I spent all of my time remote working,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Somewhat agree,Strongly agree,Somewhat agree,My productivity is about same when I work remotely,1.0,9.0,1.0,2.0,0.0,9.0,3.0,2.0,2020
5,1991,Male,"Transport, Postal and Warehousing",Managers,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,Less than 10% of my time,60%,90%,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,100% - All of my time,60%,Strongly disagree,Strongly disagree,Strongly disagree,I’m 20% more productive when working remotely,1.0,8.0,13.0,2.0,0.0,6.0,15.0,3.0,2020
6,1989,Male,Retail Trade,Sales ,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro,Less than 10% of my time,40%,70%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,1.0,8.0,2.0,2.0,0.0,7.0,3.0,3.0,2020
7,1973,Male,Financial and Insurance Services,Clerical and administrative ,More than 200,No,Couple with dependent children,More than 5 years,Metro,Rarely or never ,70%,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,100% - All of my time,90%,Somewhat agree,Strongly agree,Strongly agree,I’m 50% more productive when working remotely (or more),2.0,8.0,4.0,1.0,0.0,8.0,5.0,3.0,2020
8,1992,Male,Manufacturing,Managers,Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,80%,90%,90%,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,80%,80%,Somewhat agree,Somewhat agree,Strongly agree,I’m 30% less productive when working remotely,1.0,8.0,4.0,3.0,0.4,6.0,4.0,6.0,2020
9,1977,Male,Administrative and Support Services,Clerical and administrative ,More than 200,No,Single person,More than 5 years,Metro,60%,60%,60%,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,70%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,I’m 30% more productive when working remotely,0.0,8.0,12.0,4.0,0.0,8.0,13.0,1.0,2020
10,1985,Male,"Electricity, Gas, Water and Waste Services",Managers,More than 200,No,Group household,More than 5 years,Metro,20%,20%,40%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,I would not have preferred to work remotely ,I would prefer not to work remotely ,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% less productive when working remotely,3.0,8.5,4.0,2.0,1.0,8.5,6.0,2.0,2020
11,1980,Female,Administrative and Support Services,Clerical and administrative ,More than 200,No,Single person,Between 6 and 12 months,Metro,Rarely or never ,70%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,100% - All of my time,70%,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,3.0,8.0,3.0,2.0,0.5,8.0,5.0,2.0,2020
12,1989,Male,Financial and Insurance Services,Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,Rarely or never ,40%,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,100% - All of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,I’m 10% more productive when working remotely,2.0,10.0,3.0,2.0,0.5,12.0,4.0,2.0,2020
13,1994,Female,Financial and Insurance Services,Professionals,More than 200,No,Single person,Between 6 and 12 months,Metro,100% - I spent all of my time remote working,50% - About half of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Strongly agree,I’m 10% less productive when working remotely,2.0,8.0,1.0,1.0,0.0,9.0,2.0,1.0,2020
14,1970,Female,"Professional, Scientific and Technical Services",Managers,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,40%,50% - About half of my time,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,80%,80%,Neither agree nor disagree,Somewhat agree,Somewhat agree,I’m 50% more productive when working remotely (or more),1.0,12.0,4.0,1.0,0.0,13.0,5.0,1.0,2020
