response_id,birth_year,gender,industry,occupation,org_size,is_manager,household_type,tenure,location,remote_time_last_year,preferred_remote_last_year,remote_time_this_year,org_encouraged_remote,org_prepared,remote_was_common,easy_permission,easy_collaboration,preferred_remote_this_year,post_covid_preference,expect_employer_encourage,expect_employer_changes,expect_more_choice,productivity_remote,office_commute_hrs,office_working_hrs,office_personal_hrs,office_caring_hrs,remote_commute_hrs,remote_working_hrs,remote_personal_hrs,remote_caring_hrs,feel_better_remote,more_active_remote,feel_better_in_person,policy_sentiment,year
1,1976,Male,Other Services,Professionals - ICT Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,80%,50% - I spent about half of my time remote working,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,80%,80%,Somewhat likely,Somewhat likely,Somewhat likely,I’m 50% more productive when working remotely (or more),2.0,6.0,1.0,7.0,0.0,8.0,1.0,7.0,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat Positive,2021
2,1971,Male,Construction,Professionals - ICT Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,10%,50% - About half of my time,Less than 10% of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,50% - About half of my time,50% - About half of my time,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 50% more productive when working remotely (or more),1.5,8.0,2.0,6.0,0.0,10.0,4.0,4.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,2021
3,1978,Female,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Single person,Between 6 and 12 months,Metro,100% - I spent all of my time remote working,100% - All of my time,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,90%,60%,Somewhat unlikely,Somewhat likely,Very likely,My productivity is about same when I work remotely,3.0,8.0,1.0,4.0,1.0,8.0,2.0,5.0,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly Positive,2021
4,1962,Female,Health Care and Social Assistance,Professionals - Health Professionals,Between 20 and 199,Yes,One parent family with dependent children,Between 1 and 5 years,Regional,40%,40%,40%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,40%,40%,Somewhat likely,Somewhat likely,Somewhat likely,I’m 50% more productive when working remotely (or more),1.0,8.0,6.0,3.0,1.0,8.0,4.0,4.0,Somewhat agree,Somewhat agree,Somewhat agree,Neither positive nor negative,2021
5,1974,Male,Financial and Insurance,Managers - Specialist Managers,More than 200,No,Couple with dependent children,More than 5 years,Regional,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,100% - All of my time,100% - All of my time,Somewhat likely,Somewhat likely,Somewhat likely,I’m 20% more productive when working remotely,5.0,8.0,2.0,3.0,,9.0,3.0,4.0,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat Positive,2021
6,1985,Male,Manufacturing,Technicians and trades workers - Construction Trades Workers,Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro,50% - I spent about half of my time remote working,40%,50% - I spent about half of my time remote working,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,50% - About half of my time,50% - About half of my time,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 20% more productive when working remotely,3.0,8.0,2.0,3.0,2.0,8.0,4.0,2.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Negative,2021
7,1973,Male,Public Administration and Safety,Managers - Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,100% - All of my time,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,100% - All of my time,Neither unlikely or likely,Somewhat likely,Somewhat likely,I’m 10% more productive when working remotely,2.0,8.0,3.0,3.0,1.0,8.0,3.0,4.0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,2021
8,1992,Female,Administrative and Support,Clerical and administrative workers - General Clerical Workers,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,90%,Somewhat likely,Somewhat likely,Neither unlikely or likely,I’m 20% more productive when working remotely,1.5,8.5,0.5,5.5,0.5,9.0,0.5,5.0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat Positive,2021
9,1970,Female,Administrative and Support,Clerical and administrative workers - General Clerical Workers,More than 200,No,One parent family with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,100% - All of my time,50% - I spent about half of my time remote working,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,50% - About half of my time,50% - About half of my time,Somewhat likely,Somewhat likely,Neither unlikely or likely,I’m 50% less productive when working remotely (or worse),1.0,8.0,5.0,2.0,1.0,7.0,5.0,3.0,Strongly agree,Somewhat agree,Strongly disagree,Somewhat Positive,2021
10,1981,Female,Other Services,Professionals - ICT Professionals,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,100% - All of my time,90%,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,100% - All of my time,100% - All of my time,Neither unlikely or likely,Neither unlikely or likely,Somewhat likely,I’m 50% more productive when working remotely (or more),1.5,8.0,0.0,7.5,0.5,8.0,0.0,8.5,Strongly agree,Strongly agree,Strongly disagree,Somewhat Positive,2021
