tenure,remote_caring_hrs,productivity_remote,birth_year,industry,expect_employer_changes,expect_more_choice,easy_permission,post_covid_preference,is_manager,response_id,office_working_hrs,remote_working_hrs,household_type,office_personal_hrs,office_caring_hrs,remote_time_last_year,preferred_remote_last_year,gender,occupation,expect_employer_encourage,org_size,remote_personal_hrs,org_prepared,remote_commute_hrs,org_encouraged_remote,remote_was_common,easy_collaboration,year,office_commute_hrs,location
More than 5 years,2.0,I’m 50% more productive when working remotely (or more),1972,Manufacturing,Somewhat disagree,Strongly disagree,Strongly agree,90%,No,1,8.0,8.0,Couple with no dependent children,2.0,2.0,Rarely or never ,I would not have preferred to work remotely ,Female,Clerical and administrative ,Somewhat disagree,Between 20 and 199,3.5,Somewhat agree,0.5,Strongly agree,Somewhat agree,Somewhat agree,2020,2.0,Regional
More than 5 years,3.0,I’m 20% less productive when working remotely,1972,Wholesale Trade,Somewhat agree,Somewhat agree,Somewhat agree,20%,Yes,2,7.0,7.0,Couple with dependent children,3.0,3.0,20%,20%,Male,Managers,Somewhat agree,Between 1 and 4,3.0,Somewhat agree,0.0,Somewhat agree,Somewhat agree,Somewhat agree,2020,2.0,Metro
More than 5 years,7.0,I’m 10% less productive when working remotely,1982,"Electricity, Gas, Water and Waste Services",Somewhat agree,Somewhat agree,Neither agree nor disagree,60%,Yes,3,1.0,2.0,One  parent family with dependent children,6.0,5.0,60%,50% - About half of my time,Male,Managers,Somewhat agree,More than 200,7.0,Somewhat agree,5.0,Neither agree nor disagree,Somewhat agree,Somewhat agree,2020,6.0,Metro
Between 1 and 5 years,2.0,My productivity is about same when I work remotely,1987,"Professional, Scientific and Technical Services",Strongly agree,Somewhat agree,Strongly agree,100% - All of my time,No,4,9.0,9.0,Couple with dependent children,1.0,2.0,20%,50% - About half of my time,Female,Professionals,Somewhat agree,Between 20 and 199,3.0,Somewhat disagree,0.0,Strongly agree,Somewhat agree,Strongly agree,2020,1.0,Metro
More than 5 years,3.0,I’m 20% more productive when working remotely,1991,"Transport, Postal and Warehousing",Strongly disagree,Strongly disagree,Somewhat disagree,60%,Yes,5,8.0,6.0,Couple with no dependent children,13.0,2.0,Less than 10% of my time,60%,Male,Managers,Strongly disagree,Between 5 and 19,15.0,Somewhat agree,0.0,Somewhat disagree,Strongly agree,Somewhat agree,2020,1.0,Metro
Between 1 and 5 years,3.0,My productivity is about same when I work remotely,1989,Retail Trade,Somewhat agree,Somewhat agree,Strongly agree,50% - About half of my time,No,6,8.0,7.0,Single person,2.0,2.0,Less than 10% of my time,40%,Male,Sales ,Somewhat agree,Between 20 and 199,3.0,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,1.0,Metro
More than 5 years,3.0,I’m 50% more productive when working remotely (or more),1973,Financial and Insurance Services,Strongly agree,Strongly agree,Strongly disagree,90%,No,7,8.0,8.0,Couple with dependent children,4.0,1.0,Rarely or never ,70%,Male,Clerical and administrative ,Somewhat agree,More than 200,5.0,Somewhat agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,2.0,Metro
Between 6 and 12 months,6.0,I’m 30% less productive when working remotely,1992,Manufacturing,Somewhat agree,Strongly agree,Somewhat agree,80%,Yes,8,8.0,6.0,Couple with dependent children,4.0,3.0,80%,90%,Male,Managers,Somewhat agree,Between 5 and 19,4.0,Strongly agree,0.4,Strongly agree,Somewhat agree,Strongly agree,2020,1.0,Metro
More than 5 years,1.0,I’m 30% more productive when working remotely,1977,Administrative and Support Services,Neither agree nor disagree,Somewhat disagree,Somewhat agree,20%,No,9,8.0,8.0,Single person,12.0,4.0,60%,60%,Male,Clerical and administrative ,Neither agree nor disagree,More than 200,13.0,Somewhat agree,0.0,Strongly agree,Strongly agree,Somewhat agree,2020,0.0,Metro
More than 5 years,2.0,I’m 20% less productive when working remotely,1985,"Electricity, Gas, Water and Waste Services",Somewhat agree,Somewhat agree,Strongly agree,I would prefer not to work remotely ,No,10,8.5,8.5,Group household,4.0,2.0,20%,20%,Male,Managers,Somewhat agree,More than 200,6.0,Somewhat agree,1.0,Strongly agree,Strongly agree,Neither agree nor disagree,2020,3.0,Metro
